PKMN,FIRE,LEAF
Ekans,FR,
Arbok,FR,
Sandshrew,,LG
Sandslash,,LG
Vulpix,,LG
Ninetales,,LG
Oddish,FR,
Gloom,FR,
Vileplume,FR,
Psyduck,FR,
Golduck,FR,
Growlithe,FR,
Arcanine,FR,
Bellsprout,,LG
Weepinbell,,LG
Victreebel,,LG
Slowpoke,,LG
Slowbro,,LG
Shellder,FR,
Cloyster,FR,
Staryu,,LG
Starmie,,LG
Scyther,FR,
Electabuzz,FR,
Magmar,,LG
Pinsir,,LG
Bellossom,FR,
Marill,,LG
Azumarill,,LG
Wooper,FR,
Quagsire,FR,
Murkrow,FR,
Slowking,,LG
Misdreavus,,LG
Qwilfish,FR,
Scizor,FR,
Sneasel,,LG
Remoraid,,LG
Octillery,,LG
Delibird,FR,
Mantine,,LG
Skarmory,FR,
Elekid,FR,
Magby,,LG
Azurill,,LG
