PKMN,D,P,Pt
Slowpoke,,P,Pt
Slowbro,,P,Pt
Seel,D,,Pt
Dewgong,D,,Pt
Tangela,,,Pt
Scyther,D,,Pt
Pinsir,,P,Pt
Articuno,,,Pt
Zapdos,,,Pt
Moltres,,,Pt
Murkrow,D,,
Slowking,,P,Pt
Misdreavus,,P,
Scizor,D,,Pt
Houndour,,P,Pt
Houndoom,,P,Pt
Stantler,,P,Pt
Larvitar,D,,Pt
Pupitar,D,,Pt
Tyranitar,D,,Pt
Poochyena,D,,Pt
Mightyena,D,,Pt
Aron,D,,Pt
Lairon,D,,Pt
Aggron,D,,Pt
Trapinch,D,P,
Vibrava,D,P,
Flygon,D,P,
Kecleon,D,,Pt
Tropius,,,Pt
Spheal,,P,Pt
Sealeo,,P,Pt
Walrein,,P,Pt
Clamperl,D,P,
Huntail,D,P,
Gorebyss,D,P,
Bagon,,P,Pt
Shelgon,,P,Pt
Salamence,,P,Pt
Cranidos,D,,Pt
Rampardos,D,,Pt
Shieldon,,P,Pt
Bastiodon,,P,Pt
Mismagius,,P,
Honchkrow,D,,
Glameow,,P,
Purugly,,P,
Stunky,D,,
Skuntank,D,,
Tangrowth,,,Pt
Dialga,D,,Pt
Palkia,,P,Pt
