PKMN,BLACK,WHITE
Caterpie,,W
Metapod,,W
Butterfree,,W
Weedle,B,
Kakuna,B,
Beedrill,B,
Paras,,W
Parasect,,W
Murkrow,B,
Misdreavus,,W
Houndour,B,
Houndoom,B,
Poochyena,,W
Mightyena,,W
Shroomish,B,
Breloom,B,
Plusle,B,
Minun,,W
Mismagius,,W
Honchkrow,B,
Gothita,B,
Gothorita,B,
Gothitelle,B,
Solosis,,W
Duosion,,W
Reuniclus,,W
Rufflet,,W
Braviary,,W
Vullaby,B,
Mandibuzz,B,
Tornadus,B,
Thundurus,,W
Reshiram,B,
Zekrom,,W
Pidgey,,W
Pidgeotto,,W
Pidgeot,,W
Nidoran,,W
Nidorina,,W
Nidoqueen,,W
Nidoran,,W
Nidorino,,W
Nidoking,,W
Oddish,,W
Gloom,,W
Vileplume,,W
Abra,,W
Kadabra,,W
Alakazam,,W
Machop,,W
Machoke,,W
Machamp,,W
Bellsprout,,W
Weepinbell,,W
Victreebel,,W
Magnemite,,W
Magneton,,W
Gastly,,W
Haunter,,W
Gengar,,W
Rhyhorn,,W
Rhydon,,W
Chansey,,W
Electabuzz,,W
Magmar,,W
Porygon,,W
Togepi,,W
Togetic,,W
Mareep,,W
Flaaffy,,W
Ampharos,,W
Bellossom,,W
Marill,,W
Azumarill,,W
Hoppip,,W
Skiploom,,W
Jumpluff,,W
Wooper,,W
Quagsire,,W
Porygon2,,W
Elekid,,W
Magby,,W
Blissey,,W
Wurmple,,W
Silcoon,,W
Beautifly,,W
Cascoon,,W
Dustox,,W
Lotad,,W
Lombre,,W
Ludicolo,,W
Seedot,,W
Nuzleaf,,W
Shiftry,,W
Ralts,,W
Kirlia,,W
Gardevoir,,W
Surskit,,W
Masquerain,,W
Slakoth,,W
Vigoroth,,W
Slaking,,W
Whismur,,W
Loudred,,W
Exploud,,W
Azurill,,W
Aron,,W
Lairon,,W
Aggron,,W
Roselia,,W
Trapinch,,W
Vibrava,,W
Flygon,,W
Corphish,,W
Crawdaunt,,W
Bagon,,W
Shelgon,,W
Salamence,,W
Starly,,W
Staravia,,W
Staraptor,,W
Shinx,,W
Luxio,,W
Luxray,,W
Budew,,W
Roserade,,W
Happiny,,W
Magnezone,,W
Rhyperior,,W
Electivire,,W
Magmortar,,W
Togekiss,,W
Porygon-Z,,W
Gallade,,W
,,
