PKMN,B2,W2
Electabuzz,,W2
Magmar,B2,
Elekid,,W2
Magby,B2,
Skitty,,W2
Delcatty,,W2
Numel,,W2
Camerupt,,W2
Spoink,B2,
Grumpig,B2,
Regice,,W2
Registeel,B2,
Latias,,W2
Latios,B2,
Buneary,B2,
Lopunny,B2,
Glameow,,W2
Purugly,,W2
Stunky,B2,
Skuntank,B2,
Gible,B2,
Gabite,B2,
Garchomp,B2,
Electivire,,W2
Magmortar,B2,
Gothita,B2,
Gothorita,B2,
Gothitelle,B2,
Solosis,,W2
Duosion,,W2
Reuniclus,,W2
Rufflet,,W2
Braviary,,W2
Vullaby,B2,
Mandibuzz,B2,
Reshiram,,W2
Zekrom,B2,
