PKMN,X,Y
Shellder,,Y
Cloyster,,Y
Staryu,X,
Starmie,X,
Pinsir,X,
Omanyte,,Y
Omastar,,Y
Kabuto,,Y
Kabutops,,Y
Heracross,,Y
Houndour,X,
Houndoom,X,
Larvitar,,Y
Pupitar,,Y
Tyranitar,,Y
Poochyena,X,
Mightyena,X,
Aron,X,
Lairon,X,
Aggron,X,
Electrike,,Y
Manectric,,Y
Lileep,X,
Cradily,X,
Anorith,X,
Armaldo,X,
Purrloin,,Y
Liepard,,Y
Throh,,Y
Sawk,X,
Spritzee,,Y
Aromatisse,,Y
Swirlix,X,
Slurpuff,X,
Skrelp,,Y
Dragalge,,Y
Clauncher,X,
Clawitzer,X,
Xerneas,X,
Yveltal,,Y
